user_id,account_created_at,account_age_days,gender,age_group,device_type,activity_level,balance,platform,loyalty_tier,os_version,app_version,location_country,location_city,preferred_language,usual_connection_quality
user_0001,8/7/2022 0:00,389,male,45+,phone,low,1445.32,android,gold,10.0,3.9.9,USA,New York,english,excellent
user_0002,4/20/2023 0:00,133,male,18-24,phone,low,152.56,ios,bronze,16.0,3.9.9,USA,Los Angeles,english,good
user_0003,6/15/2023 0:00,77,female,18-24,phone,high,274.96,ios,platinum,16.0,3.9.9,USA,Chicago,english,good
user_0004,9/16/2022 0:00,349,male,25-34,tablet,medium,55.79,web,bronze,,3.9.8,USA,New York,english,good
user_0005,9/2/2022 0:00,363,male,45+,phone,low,2112.76,ios,platinum,13.0,3.9.8,USA,Houston,english,excellent
user_0006,2/8/2023 0:00,204,female,25-34,phone,low,47.99,ios,bronze,12.0,3.9.9,USA,Houston,english,excellent
user_0007,5/12/2023 0:00,111,female,45+,tablet,low,487.18,web,bronze,,3.9.7,USA,Houston,english,excellent
user_0008,6/8/2023 0:00,84,male,18-24,phone,medium,3918.93,android,silver,11.0,3.9.9,USA,Phoenix,english,good
user_0009,9/21/2022 0:00,344,female,45+,phone,low,72.77,android,bronze,10.0,3.9.9,USA,Philadelphia,english,excellent
user_0010,7/5/2022 0:00,422,female,18-24,phone,medium,1278.22,android,bronze,11.0,3.9.6,USA,Philadelphia,english,poor
user_0011,3/3/2023 0:00,181,female,25-34,phone,high,175.97,ios,bronze,14.0,3.9.9,USA,San Antonio,english,excellent
user_0012,4/8/2023 0:00,145,male,25-34,phone,medium,496.14,ios,silver,14.0,3.9.7,USA,Los Angeles,english,fair
user_0013,8/9/2022 0:00,387,female,45+,phone,low,50.8,android,bronze,12.0,3.9.9,USA,San Antonio,english,good
user_0014,12/18/2022 0:00,256,male,18-24,phone,low,415.96,android,silver,10.0,3.9.9,USA,New York,english,fair
user_0015,3/5/2023 0:00,179,male,18-24,phone,medium,17327.04,android,silver,12.0,3.9.9,USA,San Diego,english,excellent
user_0016,5/28/2023 0:00,95,male,25-34,phone,low,1843.93,android,gold,13.0,3.9.8,USA,Los Angeles,english,fair
user_0017,12/10/2022 0:00,264,female,18-24,phone,medium,179.24,android,silver,10.0,3.9.9,USA,Houston,english,excellent
user_0018,4/20/2023 0:00,133,male,25-34,phone,low,397.3,android,bronze,13.0,3.9.9,USA,San Antonio,english,good
user_0019,9/5/2022 0:00,360,female,18-24,phone,dormant,519.52,android,bronze,13.0,3.9.7,USA,San Diego,english,good
user_0020,10/21/2022 0:00,314,female,25-34,phone,low,6363.64,ios,bronze,12.0,3.9.9,USA,Dallas,english,excellent
user_0021,7/17/2022 0:00,410,male,18-24,phone,low,537.73,ios,bronze,15.0,3.9.9,USA,Phoenix,english,good
user_0022,11/3/2022 0:00,301,male,25-34,phone,medium,623.29,ios,bronze,12.0,3.9.8,USA,Los Angeles,english,poor
user_0023,8/6/2022 0:00,390,female,25-34,phone,high,472.14,ios,gold,15.0,3.9.9,USA,Dallas,english,fair
user_0024,6/29/2023 0:00,63,female,35-44,tablet,dormant,191.69,android,silver,11.0,3.9.6,USA,San Jose,english,poor
user_0025,10/14/2022 0:00,321,male,25-34,phone,dormant,4650.51,ios,bronze,16.0,3.9.6,USA,New York,english,good
user_0026,4/13/2023 0:00,140,female,35-44,tablet,low,87.3,web,silver,,3.9.8,USA,San Diego,english,poor
user_0027,6/30/2023 0:00,62,male,18-24,phone,low,127.81,android,bronze,10.0,3.9.8,USA,Phoenix,english,good
user_0028,12/27/2022 0:00,247,female,18-24,phone,medium,902.98,android,bronze,12.0,3.9.9,USA,Chicago,english,good
user_0029,2/27/2023 0:00,185,female,18-24,phone,medium,4512.04,android,bronze,12.0,3.9.8,USA,Los Angeles,english,good
user_0030,5/26/2023 0:00,97,male,25-34,phone,low,4911.94,ios,bronze,13.0,3.9.8,USA,Chicago,english,excellent
user_0031,4/7/2023 0:00,146,male,18-24,phone,low,2060.23,android,silver,11.0,3.9.9,USA,San Antonio,english,excellent
user_0032,7/12/2022 0:00,415,female,18-24,phone,low,8017.27,android,bronze,13.0,3.9.9,USA,Phoenix,english,excellent
user_0033,11/18/2022 0:00,286,female,25-34,phone,low,919.69,android,silver,12.0,3.9.9,USA,San Jose,english,fair
user_0034,3/7/2023 0:00,177,female,25-34,phone,dormant,1256.1,ios,silver,16.0,3.9.7,USA,Houston,english,good
user_0035,9/2/2022 0:00,363,female,18-24,phone,medium,376.17,ios,gold,12.0,3.9.8,USA,Chicago,english,excellent
user_0036,6/14/2023 0:00,78,female,25-34,phone,low,4438.54,ios,bronze,16.0,3.9.9,USA,Houston,english,excellent
user_0037,7/23/2022 0:00,404,female,35-44,phone,dormant,107.37,android,bronze,11.0,3.9.8,USA,San Diego,english,good
user_0038,10/31/2022 0:00,304,other,18-24,tablet,medium,394.4,web,silver,,3.9.9,USA,Phoenix,english,excellent
user_0039,5/13/2023 0:00,110,female,18-24,phone,low,277.54,ios,silver,14.0,3.9.6,USA,San Diego,english,good
user_0040,11/3/2022 0:00,301,male,18-24,phone,low,175.49,android,bronze,10.0,3.9.8,USA,Philadelphia,english,fair
user_0041,12/6/2022 0:00,268,female,25-34,phone,low,151.08,android,bronze,13.0,3.9.6,USA,San Antonio,english,fair
user_0042,3/25/2023 0:00,159,male,18-24,phone,low,116.53,ios,silver,15.0,3.9.8,USA,San Jose,english,good
user_0043,11/6/2022 0:00,298,male,18-24,phone,medium,64.97,ios,silver,15.0,3.9.8,USA,San Jose,english,good
user_0044,6/5/2023 0:00,87,female,25-34,tablet,medium,3608.58,web,silver,,3.9.7,USA,New York,english,good
user_0045,4/6/2023 0:00,147,male,18-24,phone,low,525.13,android,bronze,13.0,3.9.9,USA,Phoenix,english,excellent
user_0046,5/31/2023 0:00,92,female,18-24,phone,low,7469.56,android,bronze,13.0,3.9.9,USA,Los Angeles,english,fair
user_0047,11/10/2022 0:00,294,male,18-24,phone,low,71.34,android,bronze,13.0,3.9.7,USA,Los Angeles,english,fair
